"sol_pos_x"|"sol_pos_y"|"sol_pos_z"|"sol_pitch"|"sol_roll"|"sol_yaw"|"sol_armd_x"|"sol_armd_y"|"sol_armd_z"|"sol_wrp_x"|"sol_wrp_y"|"sol_wrp_z"|"sol_elbp_x"|"sol_elbp_y"|"sol_elbp_z"|"sol_m_s_x_pinky"|"sol_m_s_y_pinky"|"sol_m_s_z_pinky"|"sol_m_e_x_pinky"|"sol_m_e_y_pinky"|"sol_m_e_z_pinky"|"sol_m_d_x_pinky"|"sol_m_d_y_pinky"|"sol_m_d_z_pinky"|"sol_p_s_x_pinky"|"sol_p_s_y_pinky"|"sol_p_s_z_pinky"|"sol_p_e_x_pinky"|"sol_p_e_y_pinky"|"sol_p_e_z_pinky"|"sol_p_d_x_pinky"|"sol_p_d_y_pinky"|"sol_p_d_z_pinky"|"sol_i_s_x_pinky"|"sol_i_s_y_pinky"|"sol_i_s_z_pinky"|"sol_i_e_x_pinky"|"sol_i_e_y_pinky"|"sol_i_e_z_pinky"|"sol_i_d_x_pinky"|"sol_i_d_y_pinky"|"sol_i_d_z_pinky"|"sol_d_s_x_pinky"|"sol_d_s_y_pinky"|"sol_d_s_z_pinky"|"sol_d_e_x_pinky"|"sol_d_e_y_pinky"|"sol_d_e_z_pinky"|"sol_d_d_x_pinky"|"sol_d_d_y_pinky"|"sol_d_d_z_pinky"|"sol_m_s_x_ring"|"sol_m_s_y_ring"|"sol_m_s_z_ring"|"sol_m_e_x_ring"|"sol_m_e_y_ring"|"sol_m_e_z_ring"|"sol_m_d_x_ring"|"sol_m_d_y_ring"|"sol_m_d_z_ring"|"sol_p_s_x_ring"|"sol_p_s_y_ring"|"sol_p_s_z_ring"|"sol_p_e_x_ring"|"sol_p_e_y_ring"|"sol_p_e_z_ring"|"sol_p_d_x_ring"|"sol_p_d_y_ring"|"sol_p_d_z_ring"|"sol_i_s_x_ring"|"sol_i_s_y_ring"|"sol_i_s_z_ring"|"sol_i_e_x_ring"|"sol_i_e_y_ring"|"sol_i_e_z_ring"|"sol_i_d_x_ring"|"sol_i_d_y_ring"|"sol_i_d_z_ring"|"sol_d_s_x_ring"|"sol_d_s_y_ring"|"sol_d_s_z_ring"|"sol_d_e_x_ring"|"sol_d_e_y_ring"|"sol_d_e_z_ring"|"sol_d_d_x_ring"|"sol_d_d_y_ring"|"sol_d_d_z_ring"|"sol_m_s_x_middle"|"sol_m_s_y_middle"|"sol_m_s_z_middle"|"sol_m_e_x_middle"|"sol_m_e_y_middle"|"sol_m_e_z_middle"|"sol_m_d_x_middle"|"sol_m_d_y_middle"|"sol_m_d_z_middle"|"sol_p_s_x_middle"|"sol_p_s_y_middle"|"sol_p_s_z_middle"|"sol_p_e_x_middle"|"sol_p_e_y_middle"|"sol_p_e_z_middle"|"sol_p_d_x_middle"|"sol_p_d_y_middle"|"sol_p_d_z_middle"|"sol_i_s_x_middle"|"sol_i_s_y_middle"|"sol_i_s_z_middle"|"sol_i_e_x_middle"|"sol_i_e_y_middle"|"sol_i_e_z_middle"|"sol_i_d_x_middle"|"sol_i_d_y_middle"|"sol_i_d_z_middle"|"sol_d_s_x_middle"|"sol_d_s_y_middle"|"sol_d_s_z_middle"|"sol_d_e_x_middle"|"sol_d_e_y_middle"|"sol_d_e_z_middle"|"sol_d_d_x_middle"|"sol_d_d_y_middle"|"sol_d_d_z_middle"|"sol_m_s_x_index"|"sol_m_s_y_index"|"sol_m_s_z_index"|"sol_m_e_x_index"|"sol_m_e_y_index"|"sol_m_e_z_index"|"sol_m_d_x_index"|"sol_m_d_y_index"|"sol_m_d_z_index"|"sol_p_s_x_index"|"sol_p_s_y_index"|"sol_p_s_z_index"|"sol_p_e_x_index"|"sol_p_e_y_index"|"sol_p_e_z_index"|"sol_p_d_x_index"|"sol_p_d_y_index"|"sol_p_d_z_index"|"sol_i_s_x_index"|"sol_i_s_y_index"|"sol_i_s_z_index"|"sol_i_e_x_index"|"sol_i_e_y_index"|"sol_i_e_z_index"|"sol_i_d_x_index"|"sol_i_d_y_index"|"sol_i_d_z_index"|"sol_d_s_x_index"|"sol_d_s_y_index"|"sol_d_s_z_index"|"sol_d_e_x_index"|"sol_d_e_y_index"|"sol_d_e_z_index"|"sol_d_d_x_index"|"sol_d_d_y_index"|"sol_d_d_z_index"|"sol_m_s_x_thumb"|"sol_m_s_y_thumb"|"sol_m_s_z_thumb"|"sol_m_e_x_thumb"|"sol_m_e_y_thumb"|"sol_m_e_z_thumb"|"sol_m_d_x_thumb"|"sol_m_d_y_thumb"|"sol_m_d_z_thumb"|"sol_p_s_x_thumb"|"sol_p_s_y_thumb"|"sol_p_s_z_thumb"|"sol_p_e_x_thumb"|"sol_p_e_y_thumb"|"sol_p_e_z_thumb"|"sol_p_d_x_thumb"|"sol_p_d_y_thumb"|"sol_p_d_z_thumb"|"sol_i_s_x_thumb"|"sol_i_s_y_thumb"|"sol_i_s_z_thumb"|"sol_i_e_x_thumb"|"sol_i_e_y_thumb"|"sol_i_e_z_thumb"|"sol_i_d_x_thumb"|"sol_i_d_y_thumb"|"sol_i_d_z_thumb"|"sol_d_s_x_thumb"|"sol_d_s_y_thumb"|"sol_d_s_z_thumb"|"sol_d_e_x_thumb"|"sol_d_e_y_thumb"|"sol_d_e_z_thumb"|"sol_d_d_x_thumb"|"sol_d_d_y_thumb"|"sol_d_d_z_thumb"
-65.7134|251.511|19.6154|-36.2553138962|-13.2548138147|63.0706710416|0.812445|-0.161309|-0.560279|-126.629|274.756|43.6913|-327.768|314.692|182.401|-109.778|267.327|17.6081|-74.5224|244.293|-14.8479|-0.663084|0.433231|0.610435|-74.5224|244.293|-14.8479|-65.4812|214.995|-6.61036|-0.284775|0.922813|-0.25946|-65.4812|214.995|-6.61036|-76.3565|211.549|6.74131|0.619261|0.196219|-0.760272|-76.3565|211.549|6.74131|-87.9092|217.508|15.1411|0.746456|-0.385022|-0.542735|-101.162|274.405|24.388|-58.7308|247.782|-3.71585|-0.738739|0.463519|0.489301|-58.7308|247.782|-3.71585|-51.8029|209.144|4.56028|-0.17269|0.96313|-0.206298|-51.8029|209.144|4.56028|-69.7372|204.638|21.196|0.721021|0.181142|-0.668817|-69.7372|204.638|21.196|-82.6375|211.401|29.5199|0.768969|-0.403114|-0.496172|-96.3299|276.953|34.2399|-44.0135|248.312|11.106|-0.817793|0.447711|0.361621|-44.0135|248.312|11.106|-22.8495|210.563|11.4352|-0.489015|0.872242|-0.00760537|-22.8495|210.563|11.4352|-37.7604|194.997|25.1207|0.583987|0.609644|-0.535999|-37.7604|194.997|25.1207|-52.0895|193.352|33.8773|0.849223|0.0974461|-0.518966|-93.6058|277.705|45.171|-34.7512|248.892|29.151|-0.872456|0.427112|0.237479|-34.7512|248.892|29.151|-5.93003|224.396|21.5802|-0.747134|0.635038|0.196258|-5.93003|224.396|21.5802|2.2542|204.296|21.6293|-0.377111|0.926165|-0.00226158|2.2542|204.296|21.6293|3.185|189.136|23.7887|-0.0606736|0.988183|-0.140757|-102.299|264.801|60.3478|-102.299|264.801|60.3478|0.0|0.0|0.0|-102.299|264.801|60.3478|-69.0094|234.16|53.4268|-0.727313|0.669441|0.151209|-69.0094|234.16|53.4268|-54.4229|210.645|40.3306|-0.476462|0.768104|0.427785|-54.4229|210.645|40.3306|-51.4814|194.907|26.7206|-0.139979|0.748958|0.647663
-74.2975|245.907|11.6211|-51.9267733183|-17.033937036|73.4273757934|0.850089|-0.314215|-0.422631|-137.451|272.143|24.3046|-347.91|349.934|128.936|-116.941|262.541|1.58467|-77.1007|238.039|-23.7012|-0.749313|0.460821|0.475578|-77.1007|238.039|-23.7012|-72.7584|209.143|-11.2873|-0.136772|0.91017|-0.391004|-72.7584|209.143|-11.2873|-86.5833|207.139|-0.64445|0.787223|0.114075|-0.606026|-86.5833|207.139|-0.64445|-99.2468|214.659|4.11212|0.818222|-0.485857|-0.307335|-109.48|269.607|9.62881|-63.4255|241.481|-10.0404|-0.801834|0.489684|0.342451|-63.4255|241.481|-10.0404|-62.3292|203.26|2.09751|-0.027326|0.952738|-0.302561|-62.3292|203.26|2.09751|-83.9899|203.975|14.3037|0.870837|-0.0287491|-0.490731|-83.9899|203.975|14.3037|-97.1966|213.304|18.7751|0.787224|-0.556092|-0.266534|-106.39|272.295|20.1229|-51.5244|242.076|7.12285|-0.857647|0.472385|0.203212|-51.5244|242.076|7.12285|-31.3101|203.875|9.39595|-0.467073|0.882658|-0.0525223|-31.3101|203.875|9.39595|-40.1602|182.165|19.5082|0.346617|0.850296|-0.396048|-40.1602|182.165|19.5082|-54.5795|177.704|27.0506|0.854568|0.26438|-0.447009|-105.607|273.255|31.3452|-45.5559|242.905|26.4991|-0.890186|0.449898|0.071838|-45.5559|242.905|26.4991|-18.1216|216.681|19.5905|-0.711185|0.67981|0.179093|-18.1216|216.681|19.5905|-9.47416|196.798|18.6597|-0.398453|0.916185|0.0428882|-9.47416|196.798|18.6597|-10.2846|181.599|20.5781|0.0528258|0.990743|-0.125052|-117.128|260.894|45.0156|-117.128|260.894|45.0156|0.0|0.0|0.0|-117.128|260.894|45.0156|-82.6298|230.834|43.9141|-0.753721|0.656753|0.0240641|-82.6298|230.834|43.9141|-67.246|207.131|32.1345|-0.502504|0.774233|0.384776|-67.246|207.131|32.1345|-64.1566|191.763|18.14|-0.147018|0.731352|0.665966
-79.2193|252.958|4.26234|-43.6004276984|-15.3308549598|68.7063353236|0.814484|-0.322377|-0.482378|-141.42|278.484|22.1723|-343.064|358.296|141.596|-122.676|269.281|-2.13378|-84.6684|245.704|-30.8817|-0.714852|0.443439|0.540693|-84.6684|245.704|-30.8817|-80.352|216.775|-18.5338|-0.135957|0.911182|-0.388927|-80.352|216.775|-18.5338|-94.231|217.701|-7.81327|0.7903|-0.0527194|-0.610448|-94.231|217.701|-7.81327|-105.695|227.287|-3.78778|0.740755|-0.619379|-0.260099|-114.687|276.285|5.44376|-70.0123|249.053|-18.2542|-0.777805|0.474119|0.412591|-70.0123|249.053|-18.2542|-69.4372|210.999|-5.56567|-0.0143364|0.948556|-0.316284|-69.4372|210.999|-5.56567|-90.5875|214.22|7.12199|0.850318|-0.129497|-0.510089|-90.5875|214.22|7.12199|-102.63|225.157|11.2214|0.71785|-0.651905|-0.244359|-110.821|278.816|15.7173|-56.8253|249.471|-2.05247|-0.844049|0.458721|0.277772|-56.8253|249.471|-2.05247|-47.2196|207.769|4.40754|-0.221948|0.963566|-0.149265|-47.2196|207.769|4.40754|-67.6802|200.027|17.5738|0.801345|0.303215|-0.515662|-67.6802|200.027|17.5738|-82.1152|206.384|23.567|0.855496|-0.376786|-0.355189|-109.181|279.58|26.8619|-49.3839|250.016|16.8176|-0.88643|0.43826|0.148897|-49.3839|250.016|16.8176|-21.1994|224.685|9.60315|-0.730629|0.656661|0.18702|-21.1994|224.685|9.60315|-11.371|205.371|8.42568|-0.452872|0.889923|0.0542553|-11.371|205.371|8.42568|-10.064|190.156|9.88418|-0.0851922|0.991818|-0.0950716|-119.486|266.841|41.1428|-119.486|266.841|41.1428|0.0|0.0|0.0|-119.486|266.841|41.1428|-84.636|237.365|37.7273|-0.761393|0.643982|0.0746199|-84.636|237.365|37.7273|-68.1623|214.246|26.2657|-0.538107|0.755166|0.374388|-68.1623|214.246|26.2657|-64.453|198.711|12.6106|-0.176516|0.739311|0.649816
-77.4156|253.189|-0.024953|-45.8438989801|-16.1556959343|69.08082777|0.803033|-0.358842|-0.475784|-139.232|280.035|17.2784|-338.041|368.874|135.069|-120.655|269.923|-6.81936|-82.9207|245.265|-35.0153|-0.709712|0.463766|0.530311|-82.9207|245.265|-35.0153|-78.7631|216.516|-22.2034|-0.130953|0.905542|-0.40354|-78.7631|216.516|-22.2034|-92.5487|217.377|-11.3577|0.784982|-0.0490241|-0.617576|-92.5487|217.377|-11.3577|-104.081|226.831|-7.21546|0.745118|-0.610874|-0.267642|-112.585|276.984|0.619118|-68.2361|248.694|-22.4423|-0.772141|0.492532|0.40151|-68.2361|248.694|-22.4423|-67.9431|210.896|-9.00244|-0.0073022|0.942185|-0.335014|-67.9431|210.896|-9.00244|-89.113|214.218|3.62646|0.851102|-0.13356|-0.507727|-89.113|214.218|3.62646|-101.19|225.177|7.56237|0.719889|-0.653235|-0.234613|-108.698|279.682|10.842|-55.0613|249.286|-6.23617|-0.838438|0.475135|0.26696|-55.0613|249.286|-6.23617|-42.9519|208.2|-0.0431302|-0.2798|0.949334|-0.143096|-42.9519|208.2|-0.0431302|-60.9547|195.752|13.1044|0.705087|0.487549|-0.514925|-60.9547|195.752|13.1044|-76.0582|198.257|20.1979|0.895114|-0.148434|-0.420403|-107.06|280.66|21.9701|-47.6327|250.135|12.6277|-0.880945|0.4525|0.138491|-47.6327|250.135|12.6277|-18.5794|225.745|5.61879|-0.753151|0.632259|0.181693|-18.5794|225.745|5.61879|-9.45475|206.059|5.19338|-0.420444|0.907107|0.0196021|-9.45475|206.059|5.19338|-7.73833|190.9|6.805|-0.111884|0.988153|-0.105053|-117.54|268.356|36.503|-117.54|268.356|36.503|0.0|0.0|0.0|-117.54|268.356|36.503|-83.1317|238.295|33.7923|-0.751747|0.656787|0.0592236|-83.1317|238.295|33.7923|-67.8403|214.537|22.0032|-0.499489|0.776029|0.385085|-67.8403|214.537|22.0032|-65.092|198.865|8.27706|-0.130781|0.74581|0.653195
-80.597|251.852|1.71604|-39.2347414846|-16.1463573581|65.817055988|0.806424|-0.352177|-0.475029|-141.859|277.713|22.532|-341.507|364.903|140.136|-123.778|269.593|-2.3475|-86.9549|247.594|-33.7645|-0.692566|0.413761|0.590893|-86.9549|247.594|-33.7645|-82.7919|217.643|-24.0903|-0.131122|0.943376|-0.30471|-82.7919|217.643|-24.0903|-96.326|217.502|-12.9|0.770656|0.00804485|-0.6372|-96.326|217.502|-12.9|-107.574|226.777|-7.70696|0.726791|-0.599324|-0.335538|-115.466|275.782|5.58517|-71.961|249.584|-21.2467|-0.75745|0.45611|0.467155|-71.961|249.584|-21.2467|-72.0828|210.452|-12.411|0.00303769|0.97544|-0.220246|-72.0828|210.452|-12.411|-92.2122|212.232|2.09164|0.809275|-0.0715421|-0.583057|-92.2122|212.232|2.09164|-103.692|222.818|8.2232|0.684273|-0.63102|-0.365492|-111.327|277.386|15.9382|-58.43|248.396|-5.37006|-0.826862|0.453161|0.333084|-58.43|248.396|-5.37006|-53.5732|205.774|0.361665|-0.112222|0.984818|-0.132437|-53.5732|205.774|0.361665|-75.1189|200.255|12.9016|0.843843|0.216151|-0.491129|-75.1189|200.255|12.9016|-89.2477|207.102|19.0828|0.837349|-0.405765|-0.366335|-109.435|277.207|27.0676|-50.5826|247.245|13.3073|-0.872418|0.444159|0.203983|-50.5826|247.245|13.3073|-26.0707|218.506|5.47698|-0.635426|0.745004|0.202986|-26.0707|218.506|5.47698|-22.3342|197.131|5.08798|-0.172167|0.984905|0.017924|-22.3342|197.131|5.08798|-26.655|182.593|7.39641|0.281648|0.947646|-0.150474|-119.737|263.582|40.5072|-119.737|263.582|40.5072|0.0|0.0|0.0|-119.737|263.582|40.5072|-85.9781|233.514|33.3489|-0.737564|0.656918|0.156393|-85.9781|233.514|33.3489|-70.3527|211.051|19.6191|-0.510397|0.733731|0.44848|-70.3527|211.051|19.6191|-67.0544|196.526|4.79559|-0.156956|0.6912|0.705412
-77.3206|251.621|0.250843|-41.7926336983|-16.4164571919|66.679483494|0.819895|-0.334198|-0.464849|-138.716|278.01|19.9204|-341.7|360.749|135.004|-120.448|269.286|-4.63143|-83.5697|246.031|-35.0638|-0.693608|0.437374|0.572373|-83.5697|246.031|-35.0638|-79.0772|216.413|-24.5496|-0.141503|0.932901|-0.331168|-79.0772|216.413|-24.5496|-92.5502|216.21|-13.2869|0.767183|0.011529|-0.641324|-92.5502|216.21|-13.2869|-103.991|225.291|-8.17066|0.739225|-0.586744|-0.330572|-112.149|275.754|3.08868|-68.6132|248.464|-22.5795|-0.757985|0.475126|0.446895|-68.6132|248.464|-22.5795|-67.9972|209.585|-12.7079|-0.0153537|0.969131|-0.246069|-67.9972|209.585|-12.7079|-88.2505|211.298|1.62944|0.814255|-0.0688398|-0.576411|-88.2505|211.298|1.62944|-100.025|221.729|7.45936|0.701845|-0.621811|-0.347511|-108.041|277.742|13.3874|-55.1379|247.852|-6.62305|-0.826956|0.467229|0.312796|-55.1379|247.852|-6.62305|-46.9841|205.65|-1.56312|-0.188403|0.975108|-0.116915|-46.9841|205.65|-1.56312|-67.3192|197.408|11.4935|0.796431|0.322802|-0.511368|-67.3192|197.408|11.4935|-81.6974|203.295|18.0752|0.852135|-0.348874|-0.390067|-106.186|277.982|24.522|-47.3554|247.395|12.1112|-0.872102|0.453423|0.183975|-47.3554|247.395|12.1112|-21.5645|219.911|3.89209|-0.66858|0.712463|0.213066|-21.5645|219.911|3.89209|-15.6445|199.048|3.0712|-0.272783|0.961332|0.037825|-15.6445|199.048|3.0712|-17.1374|183.875|4.77448|0.0973154|0.989041|-0.111028|-116.564|264.899|38.4343|-116.564|264.899|38.4343|0.0|0.0|0.0|-116.564|264.899|38.4343|-82.8106|234.407|33.3406|-0.737432|0.666191|0.111285|-82.8106|234.407|33.3406|-67.5767|211.207|20.4195|-0.49761|0.757791|0.422063|-67.5767|211.207|20.4195|-64.6622|196.177|6.02554|-0.138695|0.715244|0.684974
-70.7753|253.559|-3.99254|-44.6775622034|-16.2366490449|67.4566770683|0.817939|-0.347528|-0.458475|-132.125|280.81|14.5524|-334.624|366.849|128.058|-114.052|270.626|-9.62212|-77.364|245.491|-38.7619|-0.690031|0.472741|0.548063|-77.364|245.491|-38.7619|-72.1469|216.535|-26.8314|-0.164324|0.912024|-0.37578|-72.1469|216.535|-26.8314|-85.1829|216.62|-15.064|0.742293|-0.0048144|-0.670058|-85.1829|216.62|-15.064|-96.6101|225.712|-9.93728|0.738344|-0.587468|-0.331254|-105.71|277.658|-2.46213|-62.291|248.863|-26.6413|-0.755941|0.501336|0.42097|-62.291|248.863|-26.6413|-60.7443|210.551|-14.8432|-0.0385537|0.955|-0.29409|-60.7443|210.551|-14.8432|-80.5233|212.273|0.1406|0.795185|-0.0692355|-0.602401|-80.5233|212.273|0.1406|-92.324|222.725|5.87837|0.703422|-0.623074|-0.342018|-101.504|280.379|7.62773|-48.645|249.431|-10.8289|-0.826275|0.48377|0.288508|-48.645|249.431|-10.8289|-39.6865|207.722|-3.53852|-0.206996|0.963731|-0.168452|-39.6865|207.722|-3.53852|-58.9292|198.524|10.4986|0.753646|0.36024|-0.549768|-58.9292|198.524|10.4986|-73.4252|203.647|17.45|0.859111|-0.303652|-0.411976|-99.5338|281.404|18.6977|-40.6631|250.319|7.80572|-0.872696|0.460796|0.161461|-40.6631|250.319|7.80572|-14.4738|222.754|1.29425|-0.678907|0.714557|0.168798|-14.4738|222.754|1.29425|-8.50189|201.901|1.98354|-0.275174|0.96087|-0.0317613|-8.50189|201.901|1.98354|-9.95706|186.894|4.81365|0.0948554|0.978248|-0.18448|-109.689|269.27|33.5996|-109.689|269.27|33.5996|0.0|0.0|0.0|-109.689|269.27|33.5996|-75.9592|238.528|30.1105|-0.736928|0.671659|0.0762301|-75.9592|238.528|30.1105|-61.254|214.461|18.2034|-0.480338|0.78613|0.388941|-61.254|214.461|18.2034|-58.7253|198.56|4.69991|-0.120339|0.756696|0.642596
-69.5037|249.736|-4.65971|-48.4952213525|-17.3947127548|68.3531462375|0.803226|-0.364226|-0.471346|-130.34|278.642|12.8281|-329.197|368.814|129.52|-112.502|267.203|-11.1319|-76.2149|240.133|-39.0132|-0.682492|0.509132|0.524394|-76.2149|240.133|-39.0132|-71.6604|211.849|-25.3301|-0.143454|0.890886|-0.43098|-71.6604|211.849|-25.3301|-84.939|212.811|-13.8774|0.756112|-0.0547864|-0.652145|-84.939|212.811|-13.8774|-96.3398|222.327|-9.51902|0.736636|-0.614872|-0.281604|-104.05|274.433|-4.30591|-61.0919|243.836|-27.0525|-0.747919|0.53271|0.396028|-61.0919|243.836|-27.0525|-60.4422|206.469|-12.4683|-0.0161943|0.931439|-0.363538|-60.4422|206.469|-12.4683|-80.8241|209.367|1.49126|0.819423|-0.116507|-0.561223|-80.8241|209.367|1.49126|-92.8063|220.202|6.01616|0.714237|-0.645845|-0.269721|-99.803|277.562|5.64734|-47.4411|244.936|-11.2724|-0.818504|0.51|0.264484|-47.4411|244.936|-11.2724|-39.0685|203.646|-1.37111|-0.193456|0.954062|-0.228779|-39.0685|203.646|-1.37111|-59.1615|196.469|12.6538|0.786948|0.281062|-0.549288|-59.1615|196.469|12.6538|-73.6967|202.391|18.8477|0.861435|-0.350965|-0.367086|-97.8183|279.08|16.658|-39.4488|246.58|7.30637|-0.865265|0.481766|0.138628|-39.4488|246.58|7.30637|-11.9662|220.189|1.2833|-0.712434|0.684148|0.156137|-11.9662|220.189|1.2833|-3.38068|200.261|1.67094|-0.395603|0.918248|-0.0178616|-3.38068|200.261|1.67094|-2.93514|185.175|4.4203|-0.0290424|0.983381|-0.179216|-108.168|267.83|32.1095|-108.168|267.83|32.1095|0.0|0.0|0.0|-108.168|267.83|32.1095|-75.6011|236.004|27.4718|-0.711518|0.695324|0.101323|-75.6011|236.004|27.4718|-62.4321|211.278|15.1267|-0.430162|0.807684|0.403247|-62.4321|211.278|15.1267|-61.3055|195.152|1.69979|-0.0536085|0.767375|0.638953
-75.9676|283.369|-9.4872|-59.3928190363|-18.7167505256|75.1621619006|0.848799|-0.28713|-0.443955|-138.48|311.601|1.18122|-348.62|382.687|111.092|-118.474|299.444|-20.9198|-79.7268|270.728|-43.3025|-0.728752|0.540093|0.420976|-79.7268|270.728|-43.3025|-74.5458|243.539|-27.749|-0.163189|0.856372|-0.489895|-74.5458|243.539|-27.749|-88.4601|244.063|-17.0471|0.792313|-0.0298326|-0.609385|-88.4601|244.063|-17.0471|-100.713|252.9|-13.6859|0.791694|-0.571012|-0.217177|-110.69|307.384|-14.0883|-65.6795|275.715|-30.5248|-0.783648|0.551365|0.286167|-65.6795|275.715|-30.5248|-64.3501|239.485|-13.3492|-0.0331377|0.903109|-0.428132|-64.3501|239.485|-13.3492|-85.8866|242.465|-1.26691|0.865844|-0.119831|-0.485751|-85.8866|242.465|-1.26691|-98.4746|253.255|1.29709|0.750347|-0.643134|-0.152835|-107.31|311.433|-4.1347|-53.3854|278.413|-13.8471|-0.842927|0.516164|0.151821|-53.3854|278.413|-13.8471|-42.5577|238.138|-2.28219|-0.250186|0.930592|-0.267219|-42.5577|238.138|-2.28219|-64.1323|233.956|10.7168|0.844976|0.163784|-0.509108|-64.1323|233.956|10.7168|-77.0319|244.618|12.8703|0.764501|-0.631862|-0.127629|-106.254|313.928|6.82609|-46.9665|281.792|5.10358|-0.878872|0.476375|0.0255343|-46.9665|281.792|5.10358|-16.6604|258.146|1.86953|-0.785629|0.612991|0.0838367|-16.6604|258.146|1.86953|-4.40194|240.266|2.88967|-0.564842|0.823859|-0.0470056|-4.40194|240.266|2.88967|1.21082|226.148|5.01757|-0.365866|0.920273|-0.138707|-117.718|303.867|22.3105|-117.718|303.867|22.3105|0.0|0.0|0.0|-117.718|303.867|22.3105|-84.257|272.64|22.8398|-0.731043|0.682233|-0.011563|-84.257|272.64|22.8398|-71.1075|247.041|12.3983|-0.429524|0.836172|0.341066|-71.1075|247.041|12.3983|-70.0315|230.254|-0.196361|-0.051204|0.798849|0.599348
-57.1947|293.439|-4.18449|-60.6473335562|-19.8890022461|75.0839494035|0.861584|-0.26884|-0.430579|-119.312|322.608|6.28992|-332.616|389.165|112.889|-99.3781|310.32|-15.6495|-61.2431|280.726|-37.9396|-0.717246|0.556597|0.419235|-61.2431|280.726|-37.9396|-57.8297|253.76|-21.5331|-0.107515|0.849352|-0.516761|-57.8297|253.76|-21.5331|-71.8051|255.114|-10.9848|0.795792|-0.0771181|-0.60064|-71.8051|255.114|-10.9848|-83.4904|264.912|-8.34086|0.755022|-0.633054|-0.170835|-91.4284|318.131|-8.86063|-47.0848|285.485|-25.1972|-0.772041|0.568379|0.284427|-47.0848|285.485|-25.1972|-48.5795|249.933|-6.67066|0.0372568|0.886198|-0.461807|-48.5795|249.933|-6.67066|-70.1946|254.419|4.7899|0.869006|-0.180368|-0.460756|-70.1946|254.419|4.7899|-81.9157|266.324|6.32083|0.698674|-0.709596|-0.0912557|-87.957|322.155|1.07166|-34.7218|288.007|-8.54305|-0.832154|0.533789|0.150294|-34.7218|288.007|-8.54305|-33.7337|247.911|7.71671|-0.0228316|0.926461|-0.375698|-33.7337|247.911|7.71671|-56.5625|250.622|18.8264|0.894095|-0.10615|-0.435116|-56.5625|250.622|18.8264|-68.9761|261.884|20.7688|0.735698|-0.667455|-0.115117|-86.8398|324.676|12.0202|-28.2166|291.34|10.3864|-0.869025|0.494175|0.0242191|-28.2166|291.34|10.3864|-3.47922|261.792|8.63964|-0.641271|0.765977|0.0452828|-3.47922|261.792|8.63964|7.86757|243.298|9.09654|-0.522835|0.852174|-0.0210532|7.86757|243.298|9.09654|14.3471|229.436|10.198|-0.422368|0.903577|-0.0717956|-98.4892|314.918|27.5599|-98.4892|314.918|27.5599|0.0|0.0|0.0|-98.4892|314.918|27.5599|-66.1795|282.498|27.7708|-0.705897|0.7083|-0.00460694|-66.1795|282.498|27.7708|-53.6475|256.532|17.4797|-0.409352|0.848193|0.336153|-53.6475|256.532|17.4797|-52.8882|239.645|4.99543|-0.0361334|0.803582|0.594097
