"sag_pos_x"|"sag_pos_y"|"sag_pos_z"|"sag_pitch"|"sag_roll"|"sag_yaw"|"sag_armd_x"|"sag_armd_y"|"sag_armd_z"|"sag_wrp_x"|"sag_wrp_y"|"sag_wrp_z"|"sag_elbp_x"|"sag_elbp_y"|"sag_elbp_z"|"sag_m_s_x_pinky"|"sag_m_s_y_pinky"|"sag_m_s_z_pinky"|"sag_m_e_x_pinky"|"sag_m_e_y_pinky"|"sag_m_e_z_pinky"|"sag_m_d_x_pinky"|"sag_m_d_y_pinky"|"sag_m_d_z_pinky"|"sag_p_s_x_pinky"|"sag_p_s_y_pinky"|"sag_p_s_z_pinky"|"sag_p_e_x_pinky"|"sag_p_e_y_pinky"|"sag_p_e_z_pinky"|"sag_p_d_x_pinky"|"sag_p_d_y_pinky"|"sag_p_d_z_pinky"|"sag_i_s_x_pinky"|"sag_i_s_y_pinky"|"sag_i_s_z_pinky"|"sag_i_e_x_pinky"|"sag_i_e_y_pinky"|"sag_i_e_z_pinky"|"sag_i_d_x_pinky"|"sag_i_d_y_pinky"|"sag_i_d_z_pinky"|"sag_d_s_x_pinky"|"sag_d_s_y_pinky"|"sag_d_s_z_pinky"|"sag_d_e_x_pinky"|"sag_d_e_y_pinky"|"sag_d_e_z_pinky"|"sag_d_d_x_pinky"|"sag_d_d_y_pinky"|"sag_d_d_z_pinky"|"sag_m_s_x_ring"|"sag_m_s_y_ring"|"sag_m_s_z_ring"|"sag_m_e_x_ring"|"sag_m_e_y_ring"|"sag_m_e_z_ring"|"sag_m_d_x_ring"|"sag_m_d_y_ring"|"sag_m_d_z_ring"|"sag_p_s_x_ring"|"sag_p_s_y_ring"|"sag_p_s_z_ring"|"sag_p_e_x_ring"|"sag_p_e_y_ring"|"sag_p_e_z_ring"|"sag_p_d_x_ring"|"sag_p_d_y_ring"|"sag_p_d_z_ring"|"sag_i_s_x_ring"|"sag_i_s_y_ring"|"sag_i_s_z_ring"|"sag_i_e_x_ring"|"sag_i_e_y_ring"|"sag_i_e_z_ring"|"sag_i_d_x_ring"|"sag_i_d_y_ring"|"sag_i_d_z_ring"|"sag_d_s_x_ring"|"sag_d_s_y_ring"|"sag_d_s_z_ring"|"sag_d_e_x_ring"|"sag_d_e_y_ring"|"sag_d_e_z_ring"|"sag_d_d_x_ring"|"sag_d_d_y_ring"|"sag_d_d_z_ring"|"sag_m_s_x_middle"|"sag_m_s_y_middle"|"sag_m_s_z_middle"|"sag_m_e_x_middle"|"sag_m_e_y_middle"|"sag_m_e_z_middle"|"sag_m_d_x_middle"|"sag_m_d_y_middle"|"sag_m_d_z_middle"|"sag_p_s_x_middle"|"sag_p_s_y_middle"|"sag_p_s_z_middle"|"sag_p_e_x_middle"|"sag_p_e_y_middle"|"sag_p_e_z_middle"|"sag_p_d_x_middle"|"sag_p_d_y_middle"|"sag_p_d_z_middle"|"sag_i_s_x_middle"|"sag_i_s_y_middle"|"sag_i_s_z_middle"|"sag_i_e_x_middle"|"sag_i_e_y_middle"|"sag_i_e_z_middle"|"sag_i_d_x_middle"|"sag_i_d_y_middle"|"sag_i_d_z_middle"|"sag_d_s_x_middle"|"sag_d_s_y_middle"|"sag_d_s_z_middle"|"sag_d_e_x_middle"|"sag_d_e_y_middle"|"sag_d_e_z_middle"|"sag_d_d_x_middle"|"sag_d_d_y_middle"|"sag_d_d_z_middle"|"sag_m_s_x_index"|"sag_m_s_y_index"|"sag_m_s_z_index"|"sag_m_e_x_index"|"sag_m_e_y_index"|"sag_m_e_z_index"|"sag_m_d_x_index"|"sag_m_d_y_index"|"sag_m_d_z_index"|"sag_p_s_x_index"|"sag_p_s_y_index"|"sag_p_s_z_index"|"sag_p_e_x_index"|"sag_p_e_y_index"|"sag_p_e_z_index"|"sag_p_d_x_index"|"sag_p_d_y_index"|"sag_p_d_z_index"|"sag_i_s_x_index"|"sag_i_s_y_index"|"sag_i_s_z_index"|"sag_i_e_x_index"|"sag_i_e_y_index"|"sag_i_e_z_index"|"sag_i_d_x_index"|"sag_i_d_y_index"|"sag_i_d_z_index"|"sag_d_s_x_index"|"sag_d_s_y_index"|"sag_d_s_z_index"|"sag_d_e_x_index"|"sag_d_e_y_index"|"sag_d_e_z_index"|"sag_d_d_x_index"|"sag_d_d_y_index"|"sag_d_d_z_index"|"sag_m_s_x_thumb"|"sag_m_s_y_thumb"|"sag_m_s_z_thumb"|"sag_m_e_x_thumb"|"sag_m_e_y_thumb"|"sag_m_e_z_thumb"|"sag_m_d_x_thumb"|"sag_m_d_y_thumb"|"sag_m_d_z_thumb"|"sag_p_s_x_thumb"|"sag_p_s_y_thumb"|"sag_p_s_z_thumb"|"sag_p_e_x_thumb"|"sag_p_e_y_thumb"|"sag_p_e_z_thumb"|"sag_p_d_x_thumb"|"sag_p_d_y_thumb"|"sag_p_d_z_thumb"|"sag_i_s_x_thumb"|"sag_i_s_y_thumb"|"sag_i_s_z_thumb"|"sag_i_e_x_thumb"|"sag_i_e_y_thumb"|"sag_i_e_z_thumb"|"sag_i_d_x_thumb"|"sag_i_d_y_thumb"|"sag_i_d_z_thumb"|"sag_d_s_x_thumb"|"sag_d_s_y_thumb"|"sag_d_s_z_thumb"|"sag_d_e_x_thumb"|"sag_d_e_y_thumb"|"sag_d_e_z_thumb"|"sag_d_d_x_thumb"|"sag_d_d_y_thumb"|"sag_d_d_z_thumb"
53.4808|232.328|67.0695|-15.4457814316|12.345234951|-11.3065919774|-0.459904|0.178229|-0.869898|75.3909|250.991|130.048|189.25|206.866|345.411|80.4912|251.813|100.033|85.2362|235.247|49.7347|-0.0892449|0.311579|0.94602|85.2362|235.247|49.7347|81.2127|204.961|41.0975|0.126729|0.953902|0.272047|81.2127|204.961|41.0975|79.5855|196.764|56.5429|0.0926582|0.466807|-0.879492|79.5855|196.764|56.5429|79.4544|199.109|71.8404|0.00847098|-0.151527|-0.988417|68.2007|256.087|99.0432|65.9956|234.311|45.94|0.0383916|0.379124|0.924549|65.9956|234.311|45.94|66.0279|195.21|36.9684|-0.000805207|0.974673|0.223633|66.0279|195.21|36.9684|66.6954|183.882|59.1023|-0.0268369|0.455446|-0.889859|66.6954|183.882|59.1023|67.1037|187.691|75.4352|-0.0243336|-0.227068|-0.973575|57.4479|255.521|102.353|45.6476|229.65|45.0468|0.184458|0.404404|0.895786|45.6476|229.65|45.0468|41.6527|221.967|2.64333|0.0923056|0.17754|0.979775|41.6527|221.967|2.64333|39.666|213.04|-21.1955|0.0778094|0.349619|0.933655|39.666|213.04|-21.1955|38.5764|204.976|-35.9771|0.0645778|0.477892|0.876041|47.8091|253.124|107.721|26.7023|224.652|50.3233|0.312885|0.422064|0.850861|26.7023|224.652|50.3233|12.5582|219.641|14.7858|0.36666|0.129885|0.921244|12.5582|219.641|14.7858|5.46641|212.459|-4.42677|0.326772|0.330926|0.885273|5.46641|212.459|-4.42677|0.98416|205.44|-17.3103|0.292174|0.457549|0.839811|46.3076|237.461|122.716|46.3076|237.461|122.716|0.0|0.0|0.0|46.3076|237.461|122.716|42.444|205.877|89.8139|0.0844126|0.690041|0.718831|42.444|205.877|89.8139|54.0077|186.575|69.0542|-0.377724|0.630471|0.678108|54.0077|186.575|69.0542|70.307|177.806|59.1039|-0.775643|0.417328|0.473513
30.9869|224.075|64.7778|-12.5094813656|-2.61295357084|-3.53553028469|-0.418348|0.223162|-0.880445|46.062|238.175|130.996|149.633|182.926|348.97|54.8769|237.315|102.855|65.303|220.014|53.6722|-0.196094|0.325389|0.925024|65.303|220.014|53.6722|54.6338|190.814|47.2318|0.33605|0.919739|0.202857|54.6338|190.814|47.2318|50.1009|186.008|63.5036|0.258112|0.273643|-0.926551|50.1009|186.008|63.5036|49.3562|190.109|78.4085|0.0481163|-0.265003|-0.963046|44.1867|244.147|99.7978|47.3621|223.26|46.3877|-0.055286|0.363649|0.929894|47.3621|223.26|46.3877|40.4827|184.049|41.4304|0.171483|0.977407|0.123569|40.4827|184.049|41.4304|34.6213|179.058|65.0825|0.235647|0.20066|-0.950898|34.6213|179.058|65.0825|32.9387|186.121|80.2061|0.100297|-0.42101|-0.901494|33.1356|245.929|101.059|27.0228|223.114|41.6069|0.0955527|0.356641|0.929342|27.0228|223.114|41.6069|28.0864|206.854|1.51303|-0.0245761|0.375713|0.92641|28.0864|206.854|1.51303|27.8225|192.967|-19.9117|0.0103348|0.543868|0.839107|27.8225|192.967|-19.9117|27.1701|181.718|-32.4712|0.0386674|0.666678|0.744342|22.3774|245.687|104.477|6.80299|222.347|43.1308|0.230874|0.345983|0.909392|6.80299|222.347|43.1308|-2.852|210.021|7.8758|0.250287|0.319545|0.913919|-2.852|210.021|7.8758|-8.14658|197.311|-8.89964|0.243963|0.585654|0.772976|-8.14658|197.311|-8.89964|-11.6702|186.274|-18.9562|0.229687|0.71939|0.655532|14.796|230.75|118.328|14.796|230.75|118.328|0.0|0.0|0.0|14.796|230.75|118.328|14.6009|202.308|82.4671|0.00426259|0.621406|0.783477|14.6009|202.308|82.4671|25.4542|181.907|62.386|-0.354518|0.666378|0.65594|25.4542|181.907|62.386|40.4732|169.505|54.4989|-0.714717|0.590177|0.375327
28.3363|225.48|61.7169|-11.1004893092|-1.78681016457|-4.96072675161|-0.38523|0.199432|-0.901013|44.4281|238.46|128.03|139.8|189.086|351.096|53.1421|237.955|99.4645|62.3703|222.006|49.5909|-0.173565|0.299972|0.938026|62.3703|222.006|49.5909|51.7556|192.869|42.7849|0.334335|0.91775|0.214371|51.7556|192.869|42.7849|47.5788|187.256|58.8928|0.237833|0.319598|-0.91722|47.5788|187.256|58.8928|47.0936|190.718|73.9696|0.0313494|-0.223693|-0.974155|42.3175|244.769|96.8733|44.2125|225.278|42.8778|-0.0329928|0.339338|0.940086|44.2125|225.278|42.8778|37.1522|186.178|37.3364|0.175992|0.974652|0.138129|37.1522|186.178|37.3364|32.2187|179.772|60.859|0.198346|0.257534|-0.945693|32.2187|179.772|60.859|31.0987|186.079|76.364|0.0667562|-0.375969|-0.924224|31.2906|246.421|98.4774|23.7528|225.074|38.6441|0.117827|0.33368|0.935294|23.7528|225.074|38.6441|23.763|211.617|-2.48933|-0.000235693|0.310941|0.950429|23.763|211.617|-2.48933|23.0404|199.595|-25.003|0.0282997|0.470861|0.881753|23.0404|199.595|-25.003|22.1265|189.352|-38.3804|0.0541641|0.607042|0.792822|20.6315|245.996|102.176|3.58873|224.09|40.6914|0.25264|0.32473|0.91144|3.58873|224.09|40.6914|-6.59211|214.139|4.83902|0.263919|0.257975|0.929406|-6.59211|214.139|4.83902|-12.1546|202.854|-12.8443|0.256309|0.519994|0.814808|-12.1546|202.854|-12.8443|-15.924|193.234|-24.1847|0.245708|0.627039|0.739223|13.5506|230.645|115.837|13.5506|230.645|115.837|0.0|0.0|0.0|13.5506|230.645|115.837|11.821|202.316|79.9282|0.0377883|0.618936|0.784532|11.821|202.316|79.9282|22.2157|182.137|59.3856|-0.33954|0.659129|0.671016|22.2157|182.137|59.3856|37.2107|170.089|50.9257|-0.713575|0.573354|0.402587
29.8813|225.936|59.6784|-10.8857874328|0.4923037127|-5.2099193762|-0.385248|0.198053|-0.90131|46.0729|238.979|125.943|141.45|189.946|349.082|54.6475|239.071|97.2276|63.8757|223.826|47.1345|-0.173565|0.286738|0.942155|63.8757|223.826|47.1345|54.3753|194.525|39.442|0.299237|0.922903|0.242293|54.3753|194.525|39.442|50.4776|188.086|55.3092|0.221941|0.366613|-0.903513|50.4776|188.086|55.3092|49.9423|191.019|70.4961|0.034593|-0.189505|-0.98127|43.5456|245.491|94.812|45.5301|226.46|40.656|-0.0345508|0.331334|0.942881|45.5301|226.46|40.656|39.9755|187.311|33.8843|0.138459|0.975877|0.168797|39.9755|187.311|33.8843|35.4946|179.421|57.0436|0.180148|0.317215|-0.931086|35.4946|179.421|57.0436|34.257|185.002|72.8157|0.0737742|-0.332679|-0.94015|32.4843|246.717|96.5556|25.0437|225.519|36.6577|0.116308|0.331371|0.936304|25.0437|225.519|36.6577|25.0651|212.917|-4.74581|-0.000494788|0.291176|0.956669|25.0651|212.917|-4.74581|24.4787|201.019|-27.3297|0.0229672|0.465969|0.884503|24.4787|201.019|-27.3297|23.7115|190.507|-40.5057|0.045472|0.623014|0.780888|21.8931|245.867|100.374|4.95623|223.765|38.9306|0.25107|0.32765|0.910829|4.95623|223.765|38.9306|-5.18811|214.103|2.98874|0.262973|0.250466|0.931725|-5.18811|214.103|2.98874|-10.4829|202.741|-14.7275|0.243974|0.523538|0.816324|-10.4829|202.741|-14.7275|-13.984|193.034|-26.0793|0.228213|0.632747|0.739967|15.5537|230.168|114.003|15.5537|230.168|114.003|0.0|0.0|0.0|15.5537|230.168|114.003|14.3914|201.41|78.4129|0.0253935|0.628301|0.777556|14.3914|201.41|78.4129|25.5314|181.544|57.9556|-0.363883|0.648892|0.668228|25.5314|181.544|57.9556|41.1181|170.251|49.5235|-0.74173|0.537423|0.401266
27.8235|227.367|60.0075|-11.0475809558|4.39275980323|-6.33046997923|-0.415978|0.199393|-0.887246|45.1782|240.966|125.817|148.163|191.602|345.475|52.9027|241.909|96.8233|61.4694|227.409|46.3924|-0.161124|0.272715|0.948507|61.4694|227.409|46.3924|54.0056|197.857|37.5092|0.23509|0.930831|0.279797|54.0056|197.857|37.5092|50.501|189.968|52.803|0.19956|0.449196|-0.870861|50.501|189.968|52.803|49.8034|192.169|68.1066|0.0450735|-0.14221|-0.98881|41.3531|247.634|94.7883|42.8|228.917|40.5059|-0.025191|0.325864|0.945081|42.8|228.917|40.5059|40.0787|189.963|31.3109|0.0678317|0.971013|0.229201|40.0787|189.963|31.3109|36.4438|179.468|53.5673|0.146137|0.421906|-0.894784|36.4438|179.468|53.5673|34.9896|183.932|69.6732|0.0866816|-0.266072|-0.960048|30.2977|248.165|96.8842|22.2952|226.715|37.1483|0.125092|0.335297|0.933771|22.2952|226.715|37.1483|22.8844|215.914|-4.75678|-0.0136128|0.249571|0.968261|22.8844|215.914|-4.75678|22.9423|204.572|-27.6322|-0.00226832|0.444208|0.895921|22.9423|204.572|-27.6322|22.7975|194.262|-40.9882|0.00857975|0.611039|0.791554|19.9057|246.648|101.029|2.43721|223.71|40.0425|0.258951|0.340032|0.904059|2.43721|223.71|40.0425|-8.85117|215.394|4.10496|0.29263|0.215556|0.931613|-8.85117|215.394|4.10496|-14.3653|204.371|-13.7579|0.254078|0.507919|0.823081|-14.3653|204.371|-13.7579|-17.8077|194.562|-25.0393|0.224395|0.639432|0.735373|14.9869|230.545|114.774|14.9869|230.545|114.774|0.0|0.0|0.0|14.9869|230.545|114.774|14.6027|201.442|79.4497|0.00839568|0.635849|0.771768|14.6027|201.442|79.4497|26.8265|182.289|58.9323|-0.399287|0.625629|0.670193|26.8265|182.289|58.9323|43.2393|172.297|50.425|-0.781046|0.475469|0.404841
32.6858|228.137|56.9588|-9.39546489797|2.11748033017|-6.10756376485|-0.390605|0.16044|-0.906469|49.7154|240.236|123.299|146.418|200.515|347.716|57.9023|240.815|94.365|66.4519|227.24|43.6747|-0.160802|0.255332|0.953388|66.4519|227.24|43.6747|57.5357|197.996|35.113|0.280837|0.921091|0.26967|57.5357|197.996|35.113|54.2161|191.267|50.9908|0.189024|0.383204|-0.904116|54.2161|191.267|50.9908|54.0677|194.128|66.2001|0.00958851|-0.184874|-0.982715|46.5981|247.021|92.3614|47.9156|229.596|37.6473|-0.0229391|0.30337|0.952597|47.9156|229.596|37.6473|43.2888|190.578|29.551|0.115331|0.972609|0.201816|43.2888|190.578|29.551|39.477|182.443|52.7454|0.15325|0.327048|-0.932499|39.477|182.443|52.7454|38.4421|187.899|68.5759|0.0616908|-0.325217|-0.943625|35.5489|247.918|94.363|27.3794|228.254|34.0381|0.127703|0.307386|0.942977|27.3794|228.254|34.0381|27.6705|217.639|-7.91761|-0.00672791|0.245274|0.969431|27.6705|217.639|-7.91761|27.4429|207.348|-31.2836|0.00891387|0.40305|0.915134|27.4429|207.348|-31.2836|27.0513|198.246|-45.4863|0.0232108|0.539393|0.841734|25.0639|246.694|98.3682|7.3929|225.932|36.6647|0.261953|0.30778|0.914687|7.3929|225.932|36.6647|-4.39246|217.848|0.833996|0.305513|0.209545|0.928845|-4.39246|217.848|0.833996|-10.3885|206.94|-16.9438|0.276284|0.502635|0.819162|-10.3885|206.94|-16.9438|-14.2866|197.44|-28.3412|0.254095|0.61926|0.742935|19.3984|230.458|111.661|19.3984|230.458|111.661|0.0|0.0|0.0|19.3984|230.458|111.661|19.928|202.308|75.5739|-0.0115707|0.615016|0.78843|19.928|202.308|75.5739|32.4629|183.43|54.9891|-0.409448|0.616636|0.672392|32.4629|183.43|54.9891|49.2593|173.499|47.1891|-0.799301|0.472589|0.371183
39.3527|230.674|57.7978|-10.2102894|2.43715495828|-5.34144192728|-0.360662|0.193047|-0.9125|55.2813|243.319|124.217|144.571|195.526|350.127|64.0092|244.054|95.3327|73.2862|229.854|44.9422|-0.174481|0.267079|0.947747|73.2862|229.854|44.9422|64.9063|200.517|36.1616|0.263942|0.924037|0.276567|64.9063|200.517|36.1616|61.2978|193.924|52.0341|0.205474|0.375365|-0.903815|61.2978|193.924|52.0341|60.7597|196.88|67.2165|0.0347744|-0.190978|-0.980978|52.6846|250.145|93.1056|54.8087|231.986|38.6563|-0.0369824|0.316155|0.947986|54.8087|231.986|38.6563|50.2313|192.956|30.5848|0.114101|0.972883|0.201196|50.2313|192.956|30.5848|46.5661|184.742|53.775|0.147356|0.330227|-0.932328|46.5661|184.742|53.775|45.5847|190.057|69.6567|0.0585001|-0.316824|-0.946679|41.6051|250.985|94.959|34.3293|230.437|34.8144|0.113733|0.321191|0.94016|34.3293|230.437|34.8144|34.2535|219.274|-6.99987|0.00174998|0.257934|0.966161|34.2535|219.274|-6.99987|33.7967|208.412|-30.1026|0.0178903|0.425411|0.904823|33.7967|208.412|-30.1026|33.2615|198.921|-44.0429|0.0317227|0.562512|0.82618|31.0808|249.735|98.8518|14.3298|227.998|37.2274|0.248316|0.322226|0.913515|14.3298|227.998|37.2274|2.5212|218.944|1.63727|0.306116|0.23471|0.922607|2.5212|218.944|1.63727|-3.46797|207.706|-15.9362|0.275968|0.517835|0.809746|-3.46797|207.706|-15.9362|-7.32343|197.873|-27.0622|0.251317|0.640981|0.725247|25.373|233.639|112.296|25.373|233.639|112.296|0.0|0.0|0.0|25.373|233.639|112.296|25.8744|204.672|76.8612|-0.0109552|0.632874|0.774178|25.8744|204.672|76.8612|38.7107|185.442|56.7946|-0.419294|0.628137|0.655466|38.7107|185.442|56.7946|55.9208|175.738|49.6363|-0.818984|0.461764|0.340647
37.3031|230.902|60.7361|-12.2025480287|6.29469985124|-4.83851588291|-0.38351|0.222504|-0.896333|52.6733|245.682|126.668|147.62|190.596|348.575|61.1237|246.97|97.753|71.1808|231.952|47.7506|-0.189154|0.282451|0.940448|71.1808|231.952|47.7506|64.8263|201.944|39.5603|0.200148|0.945193|0.257975|64.8263|201.944|39.5603|61.6084|195.302|55.4958|0.183236|0.378212|-0.907403|61.6084|195.302|55.4958|60.7591|198.221|70.671|0.054873|-0.188642|-0.980512|49.4146|252.232|95.404|52.5854|232.675|41.4924|-0.0552047|0.340492|0.938625|52.5854|232.675|41.4924|50.2766|193.329|34.009|0.0575513|0.980761|0.186537|50.2766|193.329|34.009|47.5635|185.202|57.3602|0.109077|0.32673|-0.938802|47.5635|185.202|57.3602|46.551|190.623|73.2043|0.0603497|-0.323104|-0.944437|38.309|252.391|97.2843|32.2428|229.665|37.7928|0.0948245|0.355246|0.929951|32.2428|229.665|37.7928|32.1398|216.75|-3.51383|0.00238046|0.298419|0.954432|32.1398|216.75|-3.51383|31.948|204.632|-25.9869|0.0075109|0.474609|0.880164|31.948|204.632|-25.9869|31.7559|194.473|-39.4576|0.0113865|0.602085|0.798351|27.9013|250.563|101.261|12.4554|225.981|40.3689|0.22897|0.364396|0.902656|12.4554|225.981|40.3689|1.67127|213.625|5.45343|0.279557|0.320324|0.905119|1.67127|213.625|5.45343|-3.10722|200.202|-10.9168|0.220182|0.618503|0.754304|-3.10722|200.202|-10.9168|-5.91877|188.925|-20.9308|0.183271|0.73506|0.652762|23.3085|234.523|115.191|23.3085|234.523|115.191|0.0|0.0|0.0|23.3085|234.523|115.191|24.0197|204.656|80.5145|-0.015538|0.652528|0.757605|24.0197|204.656|80.5145|37.174|185.501|60.5828|-0.429681|0.625693|0.651063|37.174|185.501|60.5828|54.6814|176.481|53.2534|-0.833133|0.429229|0.348786
28.8076|268.405|64.9221|-13.5138000769|6.20966442197|-4.66316187298|-0.333301|0.0174719|-0.942658|43.3839|286.536|130.564|125.9|282.211|363.94|52.5092|285.294|101.649|62.7351|269.116|52.0442|-0.192329|0.304275|0.932966|62.7351|269.116|52.0442|58.9248|239.011|42.7098|0.120016|0.948238|0.294008|58.9248|239.011|42.7098|53.7551|231.786|57.8587|0.294374|0.4114|-0.862609|53.7551|231.786|57.8587|50.7095|234.735|72.7436|0.19678|-0.190532|-0.961756|40.8157|290.514|99.1349|44.1643|269.716|45.7007|-0.0583012|0.362101|0.930314|44.1643|269.716|45.7007|43.518|230.969|35.3227|0.0161115|0.965826|0.258688|43.518|230.969|35.3227|39.7093|219.74|57.1875|0.153122|0.451482|-0.879044|39.7093|219.74|57.1875|37.5365|223.24|73.45|0.129517|-0.208665|-0.969373|29.7033|290.73|100.969|23.832|266.646|41.9945|0.091778|0.376476|0.921869|23.832|266.646|41.9945|23.419|253.663|0.710992|0.00954177|0.299982|0.953897|23.419|253.663|0.710992|22.9921|240.258|-21.016|0.0167199|0.524993|0.850942|22.9921|240.258|-21.016|22.6194|228.559|-33.169|0.0220923|0.693356|0.720256|19.2785|289.006|104.947|4.0304|263.045|44.5799|0.226036|0.384837|0.894879|4.0304|263.045|44.5799|-5.17639|250.12|9.41965|0.238669|0.335067|0.911465|-5.17639|250.12|9.41965|-9.03507|236.076|-6.6698|0.1778|0.647119|0.741367|-9.03507|236.076|-6.6698|-11.1634|224.234|-16.187|0.138737|0.771938|0.620374|14.6132|273.297|119.226|14.6132|273.297|119.226|0.0|0.0|0.0|14.6132|273.297|119.226|13.6739|241.566|86.2517|0.0205226|0.693245|0.72041|13.6739|241.566|86.2517|27.6641|221.7|67.6279|-0.456984|0.648913|0.60834|27.6641|221.7|67.6279|45.7429|213.105|61.2363|-0.860325|0.409055|0.304163
47.2742|282.042|63.4001|-12.5479097179|3.05192940704|-6.63836893419|-0.308132|-0.20551|-0.928881|63.7826|300.977|128.636|140.068|351.855|358.601|72.6968|297.038|99.7958|80.9096|280.894|49.8075|-0.154468|0.303637|0.940183|80.9096|280.894|49.8075|74.47|250.935|41.5031|0.202832|0.943633|0.261566|74.47|250.935|41.5031|69.6643|245.248|57.4083|0.273644|0.323837|-0.905675|69.6643|245.248|57.4083|67.5291|248.662|72.3521|0.137965|-0.220585|-0.965561|61.286|302.974|97.5908|62.2803|282.675|43.87|-0.017312|0.353424|0.935303|62.2803|282.675|43.87|58.8497|243.63|35.3169|0.0855152|0.973258|0.213202|58.8497|243.63|35.3169|54.9602|235.54|58.5142|0.156371|0.32524|-0.932613|54.9602|235.54|58.5142|53.5421|240.755|74.396|0.0845316|-0.310873|-0.946685|50.2466|303.828|99.6646|41.7286|280.864|40.5662|0.13315|0.358959|0.923807|41.7286|280.864|40.5662|41.7073|267.258|-0.51807|0.000492188|0.31439|0.949294|41.7073|267.258|-0.51807|41.2281|253.711|-22.1555|0.0187694|0.530564|0.847437|41.2281|253.711|-22.1555|40.6844|242.28|-34.555|0.0322196|0.677452|0.734861|39.8221|302.677|103.846|21.8053|278.415|43.5349|0.26708|0.35966|0.894043|21.8053|278.415|43.5349|10.4412|267.127|8.44203|0.294592|0.292626|0.909718|10.4412|267.127|8.44203|5.00858|253.875|-7.86352|0.250325|0.610614|0.751325|5.00858|253.875|-7.86352|1.79692|242.191|-17.2722|0.209351|0.761596|0.613305|34.5246|287.098|118.046|34.5246|287.098|118.046|0.0|0.0|0.0|34.5246|287.098|118.046|33.9348|256.714|83.8194|0.0128853|0.663823|0.747779|33.9348|256.714|83.8194|47.6079|236.984|64.8194|-0.446623|0.644475|0.620628|47.6079|236.984|64.8194|65.5761|227.92|58.7723|-0.855067|0.43134|0.287763
